ID,PAPER_TYPE,CHEMICAL,CHEMICAL_FAMILY,NAME,ASSAY_ENDPOINT_DESCRIPTION,ASSAY_COMPONENT_NAME,ASSAY_COMPONENT_DESCRIPTION,DESCRIPTION,SEQAPASS,GENE_SYMBOL,GENE_URL,GENE_NAME,AOP,EVENT,HIT_CALL,CONTINUOUS_HIT_CALL,TOP,SCALED_TOP,AC50,LOGAC50,CUTOFF,ACC,AC10,BMR,BMD,BMAD,MAX_MED_CONC,NORMALIZED_DATA_TYPE,ASSAY_SOURCE,ASSAY_NAME,ASSAY_DESC,ASSAY_FUNCTION_TYPE,FLAGS,STOCK_CONC,STOCK_CONC_UNITS,ORGANISM,CELL_LINE,CELL_FORMAT,CONCENTRATION,RESPONSE,CYTOTOX_BURST,INTENDED_TARGET_FAMILY,INTENDED_TARGET_TYPE,INTENDED_TARGET_TYPE_SUB,INTENDED_TARGET_FAMILY_SUB,BIOLOGICAL_PROCESS_TARGET,DETECTION_TECHNOLOGY_TYPE,TISSUE,SAMPLE_ID,REPR,DOI,TOXICITY_DOMAIN,REFERENCE,URL_COMPTOX
1,PARC,Deltamethrin,Pyrethroid,hNNF assay (hiPSC-derived neural network formation),"Effects of deltamethrin on neural network formation and function in human iPSC-derived co-cultures measured by network burst, spike, and connectivity parameters using multi-electrode arrays (MEA); calculation of BMCs for sensitive endpoints","Hnnf (human neural network formation and function) – number of spikes per network burst (MSE), plus other network parameters","Chronic exposure of human iPSC-derived neuron:astrocyte (52:22:26%) networks to deltamethrin (0.027–20µM) 1/week, 5 time points, assessment of spontaneous neural activity and cytotoxicity","Investigation of deltamethrin-induced perturbation of human neural network development and activity, using hNNF MEA assay, including time/concentration response, area under curve, and benchmark concentration analysis",-,-,-,-,Voltage-gated sodium channel modulation (MIE in EFSA DNT AOP for deltamethrin) → altered network function → behavioral impairment”  (Figure 7),Most sensitive: reduction in “number of spikes per network burst”; inhibition of network activity (molecular initiating event: voltage-gated sodium channel interference),Positive” if ≥1 network parameter affected (BMC50) without cytotoxicity; deltamethrin positive in ≥5 parameters,-,-,-,-,-,BMC calculation; 50% benchmark response (BMR50: 50% change from control baseline),-,-,"50% (BMR50 for reduction, BMR50ind for induction of effect)","BMC50 (most sensitive endpoint): 2.74µM (hNNF, “number of spikes per network burst”)",-,20µM (hno overt cytotoxicity in positive parameters),Electrophysiological readings normalized to control; area under curve (AUC) and BMC modeling,"IUF-Leibniz Research Institute for Environmental Medicine, NeuCyte Inc., DNTOX GmbH",Human neural network formation (hNNF) MEA assa,"Deltamethrin exposure of hiPSC-derived neuron/astrocyte co-cultures, 35 days on MEA, functional and cytotoxicity endpoints measured weekly, BMC analysis for network parameters","Functional neural network activity/profiling (electrophysiology, neurotoxicity)","Positive control (Bis-I), negative control (acetaminophen); assignment of “positive” if BMC50 for network parameter without cytotoxicity",20,mM,human,"iPSC-derived excitatory/inhibitory neurons (SynFire), and primary human astroglia","co-culture (52% glutamatergic neurons, 22% GABAergic neurons, 26% astrocytes)","0.027, 0.082, 0.247, 0.74, 2.22, 6.67, 20 µM","Concentration-dependent reduction in network parameters (5/14 affected, most sensitive: “spikes per network burst”, BMC50: 2.74µM)",No cytotoxicity at active concentrations,Voltage-gated sodium channels; neuronal and synaptic networks,Ion channel modulator (Sodium channel blocker/disrupter); developmental neurotoxicity,Voltage-gated sodium channel subtypes,-,"Neural network formation, synaptic activity, neuronal firing/bursting, network connectivity/organization","Multi-electrode array (MEA), electrical activity recording","In vitro model of developing human brain (neuronal/glial co-culture, hiPSC-derived)",-,"2–3 independent experiments per compound, 3 technical replicates each",doi:10.14573/altex.2206031  ,Developmental neurotoxicity (DNT),-,-
2,PARC,Deltamethrin,Pyrethroid,Neurosphere Assay (NPC5),"Impact of deltamethrin on oligodendrocyte differentiation (NPC5 assay) in human neurosphere cultures. 	Neurosphere Assay (NPC5): evaluates effects of compounds  on human OL differentiation and viability to determine developmental neurotoxicity; measures % of O4-positive cells and cytotoxicity (mitochondrial activity); dose-response analysis.",Neurosphere Assay (NPC5),"Primary hNPCs isolated from fetal cortex (Lonza), cultured as neurospheres, differentiated for 5 days on PDL-laminin plates, assessed for oligodendrocyte lineage markers (O4) and nucleus (Hoechst); %O4+ cells, cell viability.",-,-,"MBP (myelin basic protein), PDGFRA, CNP, GALC, PLP1 (oligodendrocyte lineage markers for validation; assay endpoint uses O4 immunostaining).",-,"Myelin basic protein, Platelet-derived growth factor receptor alpha, 2',3'-cyclic nucleotide 3' phosphodiesterase, Galactosylceramidase, Proteolipid protein 1","
Disrupted oligodendrocyte differentiation leading to myelination deficits and neurodevelopmental dysfunction.","
Decreased (inhibited) oligodendrocyte differentiation (↓% O4+ cells); impaired neurodevelopmental key event.",Active,-,-,-,-,-,-,-,-,-,-,-,20 μM,%O4+ cells normalized to solvent (control); viability (mitochondrial activity) normalized to solvent control.,"IUF—Leibniz Research Institute for Environmental Medicine, Düsseldorf, Germany","NPC5 (Oligodendrocyte differentiation), Neurosphere Assay",NPC5: Differentiation of human neurospheres for 5 days in presence of deltamethrin (various concentrations); assessed for %O4+ oligodendrocytes via immunostaining and cell viability (mitochondrial activity).,"
Phenotypic, mechanistic, developmental neurotoxicity, cell-type specific differentiation assay.",-,20,mM,human,"hNPCs, neurospheres (Lonza)",cell line,"0.027, 0.2, 1, 5, 10, 20 μM",Dose-dependent decrease in %O4+ oligodendrocytes (impaired differentiation); mitochondrial activity also shows cytotoxicity at higher doses ,Assessed via cell viability (mitochondrial activity); high doses also decrease viability.,"Ion channels (voltage-gated sodium channels in general mode-of-action), OL differentiation process","Oligodendrocyte, neural progenitor, myelin","O4+ oligodendrocyte markers, MBP transcription in validation.",-,"Oligodendrocyte differentiation, myelination, neuronal development",,brain,-,n ≥3 independent replicates for assays,10.3389/ftox.2022.816370,Developmental neurotoxicity (DNT),-,-
3,BioStudies,Deltamethrin,Pyrethroid,MEA on primary rat cortical neurons,"Effects on spontaneous network activity (mean firing rate, burst rate, synchrony) of primary rat cortical neurons grown on multi-electrode arrays (MEA) in vitro.",MEA of primary rat cortical neurons,"Dissociated postnatal day 0–1 rat cortical neurons cultured on glass MEA platforms, allowed to mature until DIV 13–30, form synaptically connected networks.","In vitro neurotoxicity screening using MEAs: quantifying the impact of deltamethrin on cortical neuronal network activity (spiking, bursting, synchrony).",-,-,-,-,modulation of voltage-gated sodium channels,Decreased mean firing rate and network synchrony in cultured cortical neurons following deltamethrin exposure.,Active,-,-,-,0.19 μM (EC50 for mean firing rate reduction),-,-,-,-,-,-,-,not specified,"Activity expressed as percentage of control (baseline), mean ± SEM over recordings; data normalized to baseline per MEA.","US EPA (ORD, NHEERL)",Microelectrode array-based neural network function assay (neuronal network electrophysiology),"Recording of spike and burst parameters (MFR, burst rate, % of active electrodes, synchrony) before and after cumulative dosing with test compounds.",Neuronal network function/toxicity screen,-,-,-,rat,Primary cortical neurons,monolayer on MEA,"Cumulative, typically from 1pM to 100μM;",Marked decrease in mean firing rate and synchronous network bursting; EC50=0.19μM for firing rate reduction; network synchrony at 0.3μM: 24.7% of control ,not assayed,Voltage-gated sodium channels ,Neuronal ion channel,"
Sodium channel",Neuronal channels associated with action potential initiation,"Neuronal excitability, spontaneous network activity, synaptic transmission",Microelectrode array electrophysiology,brain,-, multiple networks/MEA chips across independent cultures (N=10 for deltamethrin),https://doi.org/10.1016/j.neuro.2013.11.008,NT,-,-
4,BioStudies,Deltamethrin,Pyrethroid,wMFR and AEs on primary rat cortical neurons,Effects of deltamethrin exposure on mean firing rate (wMFR) and number of active electrodes (AEs) in primary rat cortical neuron networks on multi-well microelectrode arrays (mwMEA), and AEs on primary rat cortical neurons,"Postnatal day 0–1 (P0–P1) Long-Evans rat cortical neurons dissociated, plated on 12-well MEA plates (64 electrodes per well), cultured for DIV 14–22 before testing",High-throughput screening for neurotoxic/neuroactive compounds using spontaneous network activity in rat cortical cultures on mwMEAs,-,-,-,-,Disruption/modulation of voltage-gated sodium channel (VGSC) gating in neurons (pyrethroid mode of action),Increased weighted mean firing rate (wMFR) (+24.6%); decreased number of active electrodes (AEs) (–33.5%); changes in network excitability,Active,-,-,-,-,-,"
14% change in wMFR; 20% change in # active electrodes (AEs)",-,-,-,-,-,50 μM,"wMFR (spikes/min, weighted by number of active electrodes), percent of control","Multi-well MEA platform (Axion Biosystems/AxIS), EPA Integrated Systems Toxicology Division",Multi-well microelectrode array spontaneous network activity assay,"Recordings of spontaneous activity before and after deltamethrin application, quantifying changes in network spike rate and AEs",Neuronal network function/toxicity screen,-,50,mM,rat,Primary cortical neurons,monolayer on MEA,,Mean wMFR increased by +24.6%; number of active electrodes (AEs) decreased by –33.5% compared to baseline,No cytotoxicity at 50  μM,Voltage-gated sodium channels ,Neuronal ion channel,"
Sodium channel",-,"Neuronal excitability, action potential generation, synaptic transmission",Microelectrode array electrophysiology,brain ,-,3–7 replicates,https://doi.org/10.1016/j.neuro.2012.05.001,NT,-,-
5,BioStudies,Deltamethrin,Pyrethroid, Neural network development; identification of toxicological tipping points where network recovery fails.,"9 primary network activity parameters: mean firing rate (MFR), number of active electrodes (#AE), burst rate (BR), number of actively bursting electrodes (#ABE), percent of spikes in bursts (%SiB), number of network spikes (#NS), percent of spikes in network spikes (%SiNS), Pearson correlation (r), mutual information (MI)", Neural network development; identification of toxicological tipping points where network recovery fails.,"Parameters reflect spontaneous spiking, bursting, synchrony, and connectivity in developing networks recorded using MEAs.",-,-,-,-,-,network function disruption as an early key event for developmental neurotoxicity (DNT),Disruption of spontaneous neural network formation and function during early in vitro development,Active,-,-,-,-,-,-,-,-,-,-,-,30μM ,"Z-scored, plate-normalized fold-change vs. controls for each network paramete",US EPA Integrated Systems Toxicology Division,Microelectrode Array Neural Network Development Assay (mwMEA),Medium-throughput assay quantifying disruption of network development in primary rat cortical cultures by monitoring electrical activity over 12 days in vitro,"Functional, physiological neurotoxicity screening",-,-,-,rat,Primary mixed cortical neuron culture,primary culture,"Critical concentration (tipping point): 0.05 µM (DIV5 to DIV12), 95% CI: 0.036–0.145 µM",Demonstrated concentration-dependent perturbation resulting in irreversible functional impairment of neural network formation,Tipping point below cytotoxic concentration thresholds—functional effects precede cell viability loss,"Nervous system related targets (likely ion channel modulators, consistent with pyrethroid MoA)",Voltage-gated sodium channel modulator ,-,-,Neural network formation; developmental neurotoxicity screening,Microelectrode array (MEA) extracellular electrophysiology,brain,-,-,https://doi.org/10.1016/j.taap.2018.01.017,DNT,-,-
6,Lit_review,Deltamethrin,Pyrethroid, Colony Forming Ability (CFA) assay,"in vitro technique to assess the long-term survival, proliferation, and cytotoxic effects of chemical treatments on cells. The assay measures the ability of a single viable cell to undergo unlimited division and form a colony consisting of at least 50 cells. This ability reflects the reproductive viability and proliferative capacity of the cells following exposure to a test compound.",-,-,-,-,-,-,-,-,cell cycle arrest,Active,-,-,-,-,-,-,-,-,-,-,-,-,-,-,colony forming ability (CFA) assay + cell cycle analysis by flow cytometry + microscopic evaluation of the mitotic index.,"CFA assay is a widely used in vitro technique to assess the long-term survival, proliferation, and cytotoxic effects of chemical treatments on cells. The assay measures the ability of a single viable cell to undergo unlimited division and form a colony consisting of at least 50 cells. This ability reflects the reproductive viability and proliferative capacity of the cells following exposure to a test compound.",viability ,-,-,-,hamster,V79,cell line ,3.1–100 mg/ml,"The colony forming ability (CFA) resulted in distinct differences of the cytotoxic effect of the tested pyrethroids, whereby permethrin was found to be most toxic. With the exception of fenvalerate all tested pyrethroids gave rise to inhibition of cell cycle progression as shown by G2/M-arrest of synchronized V79 cells by flow cytometry as well as by the increase of the mitotic index as evaluated by light microscopy. ",-,-,-,-,cytotoxicity,cell cycle,Fllow-cytometry and microscopy,lung,-,-,https://doi.org/10.1016/S0378-4274(99)00034-X,-,-,-
7,Lit_review,Deltamethrin,Pyrethroid,MTT and LDH release assays,MTT assay to assess cell viability/cytotoxicity and LDH release assay for membrane integrity. Confocal and light microscopy used for morphological assessment.,-,-,-,-,-,-,-,-,cytotoxicity ,Active,-,-,-, 38.2 ng/mL,-,-,-,-,-,-,-,200 ng/mL ,-,-,"MTT assay, LDH release, EROD activity (CYP1A), microscopy",MTT: Mitochondrial function and cell viability. LDH: Membrane damage/cell lysis during apoptosis/necrosis. EROD: Measurement of CYP1A induction indicating biotransformation/phase I metabolic capacity. Microscopy: Morphological characterization of cellular/subcellular alterations,"viability, cytotoxicity, and enzyme induction",-,10,mg/mL,trout,RTG-2,cell line ," 6.25, 12.5, 25, 50, 100, 200 ng/mL for toxicity assays; IC50 for microscopy/EROD (105.3 ng/mL)","IC50 (MTT assay): 38.2 ng/mL (MTT endpoint, 24-hour exposure). LDH leakage (membrane integrity): Peak value 74.48 ± 19.90% at all treated doses; not clearly dose-dependent. EROD (CYP1A activity): 33.78 ± 0.28 pmol/min/mg protein at IC50; fold increase over control: 5.29 ± 0.04. Morphological effects (microscopy): Fragmented cytoskeleton, pyknotic/condensed nuclei, hole formation, micronucleus formation, cell shrinkage, vacuolization, hydropic degeneration.",-,-,-,-,-,-,Colorimetric (MTT/LDH); Fluorometric (EROD); Microscopy,Gonadal/mixed testis-ovary cells,-,-,https://doi.org/10.1080/15569543.2017.1366922,-,-,-
8,Lit_review,Deltamethrin,Pyrethroid,Genotixicity and chromosomal damage with the cytokinesis-block method to assess micronulie formation after exposure to pyrethroids,"The cytokinesis-block method with 6 μg/ml cytochalasin B (Cyt-B) is a widely used technique in the cytokinesis-block micronucleus (CBMN) assay to assess chromosomal damage and genotoxicity. Cytochalasin B is a drug that inhibits actin polymerization, specifically blocking the formation of the contractile ring required for cytokinesis (the final step of cell division where the cytoplasm divides). By adding Cyt-B to cultured cells at a concentration of about 6 μg/ml, cytokinesis is prevented while nuclear division proceeds normally, resulting in the accumulation of binucleated cells, i.e., cells with two nuclei.",-,,-,-,-,-,-,-,micronucleus formation (MN) and cytotoxicity,Active,-,-,-,-,-,-,-,-,-,-,-,200  μg/mL,-,-,cytokinesis-block micronucleus (CBMN) assay,"It is a well-established cytogenetic assay that detects chromosomal damage by scoring micronuclei in binucleated cells, providing sensitive measurement of genetic damage caused by chemical agents such as insecticides in human lymphocyte cultures",viability ,-,-,-,human ,whole blood and lymfocytes,peripheral blood lymphocytes ,10-200  μg/mL,"At the concentration ranges tested, all the five pyrethroids induced clear dose dependent cytotoxic effects, fenpropathrin being the most toxic. Nuclear division index (NDI) and the newly introduced index of cytotoxicity, the cytokinesis block proliferation index (CBPI), reflected the dose dependency more accurately than the percentage of binucleated cells did.",-,-,-,-,cytotoxicity,cell cycle/proliferation,Fluorescence,blood,-,-, 10.1016/0165-1218(95)90007-1,-,-,-
9,Lit_review,Deltamethrin,Pyrethroid,Cytotoxicity assessed by cell viability; protective efficacy against pyrethroid cytotoxicity,MTT cytotoxicity assay measuring cell viability after exposure to insecticides including permethrin; enzymatic assays for P450 detoxification activity on Sf9 insect cells engineered to express mosquito P450 enzymes CYP6P7 or CYP6AA3. They were used to test detoxification capacity.,-,-,-,-,"CYP6P7, CYP6AA3",-,Cytochrome P450 monooxygenases CYP6P7 and CYP6AA3,Detoxification of permethrin by cytochrome P450 enzymes reduces cytotoxicity; inhibition of P450 increases cytotoxicity,"Cytoprotection from cytotoxicity, enzymatic metabolism of permethrin",Active,-,-,-,-,-,-,-,-,-,-,-,500 µM,Cell viability percentage,-,"MTT cytotoxicity assay, in vitro enzymatic reconstitution assay",Measurement of cytotoxicity and detoxification enzyme activity against permethrin in Sf9 insect cells,"viability, detoxification capability assessment",-,-,-,Spodoptera frugiperda,Sf9 ,cell line ,0.1-500 µM x 72h," The results revealed that CYP6P7- or CYP6AA3-expressing cells showed significantly higher cytoprotective capability than parental Sf9 cells against cytotoxicity of pyrethroids including permethrin, cypermethrin and deltamethrin. Such cytoprotective effect was not observed for chlorpyrifos. Moreover, expression of CYP6AA3, but not CYP6P7, could protect cells against λ-cyhalothrin cytotoxicity. In MTT assays upon co-incubation with piperonyl butoxide (P450 inhibitor), cytoprotective ability of CYP6P7 and CYP6AA3 against deltamethrin was diminished, implying that pyrethroid detoxification was due to activities of P450 enzymes. ",-,Cytochrome P450 enzymes,Enzymes,Monooxygenases,cytotoxicity,"Xenobiotic metabolism, detoxification",Colorimetric MTT assay,insect cells,-,-,https://pubmed.ncbi.nlm.nih.gov/22041748/,-,-,-
10,Lit_review,Deltamethrin,Pyrethroid,"Inhibition of housefly-head acetylcholinesterase (AChE) activity, measured by reduction in enzymatic activity",Acetylcholinesterase inhibition bioassay,-,-,-,-,-,-,-,-,AChE activity inhibition,Active (mixture of substances),-,-,-,-,-,-,-,-,-,-,-,10 mg/L fixed as maximum cypermethrin concentration used in mixtures; not tested as single substance,-,-,Housefly-head AChE in vitro inhibition assay,Microplate-based assay measuring residual AChE activity after 10-min pesticide exposure using DTNB/ATCh read at 405 nm,"
Functional enzyme inhibition",,4–5,g/L,housefly,purified tissue from head,cell lisate,0.1 mg/L and 10 mg/L in binary combinations with OP/CB pesticides,"Synergistic increase in AChE inhibition potency of OP/CB partners, especially for chlorpyrifos (CPF), triazophos (TRZ), malathion (MLT)",-,Enzyme (hydrolase),Acetylcholinesterase inhibitor ,-,-,synaptic function/neurotransmission,Colorimetric enzyme assay,insect head extract,-,3 experiments × 3 replicates,10.1016/j.toxlet.2016.12.009,-,-,-
